Agency,Name,Position,Remuneration,Expenses,Year,Sector
Delta police,,Constable 1st Class20 Yr,121735,0,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,122693,19,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,125123,19,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,128141,186,2020,Municipal Police
Delta police,,Constable 2nd Class,114165,16,2020,Municipal Police
Delta police,,Constable 2nd Class,105509,2670,2020,Municipal Police
Delta police,,Constable 2nd Class,94465,35,2020,Municipal Police
Delta police,,Constable 2nd Class,103788,16,2020,Municipal Police
Delta police,,Constable 2nd Class,111822,603,2020,Municipal Police
Delta police,,Constable 2nd Class,91764,0,2020,Municipal Police
Delta police,,Constable 2nd Class,107196,200,2020,Municipal Police
Delta police,,Constable 2nd Class,95631,0,2020,Municipal Police
Delta police,,Constable 2nd Class,96948,16,2020,Municipal Police
Delta police,,Constable 2nd Class,94838,271,2020,Municipal Police
Delta police,,Constable 2nd Class,90997,2445,2020,Municipal Police
Delta police,,Constable 3rd Class,100444,60,2020,Municipal Police
Delta police,,Constable 3rd Class,85355,0,2020,Municipal Police
Delta police,,Constable 3rd Class,88800,0,2020,Municipal Police
Delta police,,Constable 3rd Class,93902,0,2020,Municipal Police
Delta police,,Constable 3rd Class,84214,0,2020,Municipal Police
Delta police,,Constable 3rd Class,82172,19,2020,Municipal Police
Delta police,,Constable 3rd Class,102070,0,2020,Municipal Police
Delta police,,Constable 3rd Class,84428,0,2020,Municipal Police
Delta police,,Constable 3rd Class,93817,650,2020,Municipal Police
Delta police,,Constable 3rd Class,88570,19,2020,Municipal Police
Delta police,,Constable 3rd Class,87328,0,2020,Municipal Police
Delta police,,Constable 3rd Class,88238,0,2020,Municipal Police
Delta police,,Constable 4th Class,79260,0,2020,Municipal Police
Delta police,,Constable 4th Class,75432,36,2020,Municipal Police
Delta police,,Constable 4th Class,81530,0,2020,Municipal Police
Delta police,,Constable 4th Class,83729,0,2020,Municipal Police
Delta police,,Constable 4th Class,87667,19,2020,Municipal Police
Delta police,,Constable 4th Class,80521,19,2020,Municipal Police
Delta police,,Constable 4th Class,81924,0,2020,Municipal Police
Delta police,,Constable 4th Class,75283,36,2020,Municipal Police
Delta police,,Constable 4th Class,92361,650,2020,Municipal Police
Delta police,,Constable 4th Class,79839,0,2020,Municipal Police
Delta police,"Cormier, Amanda",Records Supervisor,82098,0,2020,Municipal Police
Delta police,"Dubord, Neil",Chief Constable,256638,9605,2020,Municipal Police
Delta police,"Dunn, Darren",Staff Sergeant,140466,1992,2020,Municipal Police
Delta police,"Elson, Mark",DPD Fleet and Asset Manager,99801,4,2020,Municipal Police
Delta police,"Feenan, Ciaran",Inspector,188381,3903,2020,Municipal Police
Delta police,,FISS Tech 10 Yr,118634,104,2020,Municipal Police
Delta police,"Gain, Shawn",Inspector,85731,0,2020,Municipal Police
Delta police,"Glenister, Ian",DPD Junior Database Programmer,77792,0,2020,Municipal Police
Delta police,"Gramlich, Kimberley",Victim Services Coordinator,91240,333,2020,Municipal Police
Delta police,"Granum, Melissa",Planning & Development Manager,76172,1490,2020,Municipal Police
Delta police,"Hall, Ryan",Inspector,200629,4424,2020,Municipal Police
Delta police,"Harms, Walter",DPD Network Tech Analyst,97016,677,2020,Municipal Police
Delta police,"Helmuth, Volker",DPD Legal & Risk Manager,142469,6026,2020,Municipal Police
Delta police,"Hewitt, Nicole",DPD Corp Plan & Comm Asst,76027,650,2020,Municipal Police
Delta police,"Hill, Brian",Staff Sergeant,162573,0,2020,Municipal Police
Delta police,"Jacob, Laura",DPD FOI Coordinator,98007,30,2020,Municipal Police
Delta police,"Jassal, Jamie",DPD Paralegal,84739,378,2020,Municipal Police
Delta police,"Johnson, Jody",DPD Corporate Planning Analyst,77855,90,2020,Municipal Police
Delta police,"Leeson, Guy",Inspector,193288,489,2020,Municipal Police
Delta police,"Leykauf, Cristianne",DPD Public Affairs Manager,135623,38,2020,Municipal Police
Delta police,"Li, Jessie",Crime Analyst,79553,481,2020,Municipal Police
Delta police,"Lipinski, Roman (Norm)",Deputy Chief Constable,225594,8555,2020,Municipal Police
Delta police,"Long, Jill",Staff Sergeant,154968,3421,2020,Municipal Police
Delta police,"Madore, Hilary",DPD Finance Manager,129832,2749,2020,Municipal Police
Delta police,"McLeod, Debra",Inspector,76281,23,2020,Municipal Police
Delta police,"Neville, Kristy",Comm. & Engagement Specialist,78861,0,2020,Municipal Police
Delta police,"New, Craig",Superintendent,201577,4067,2020,Municipal Police
Delta police,"Newton, Heath JD",Acting Inspector,163678,3104,2020,Municipal Police
Delta police,"Nielson, Kristine",Court Services Supervisor,82193,65,2020,Municipal Police
Delta police,"Parry, Maurice",Staff Sergeant,166767,4340,2020,Municipal Police
Delta police,"Schaefer, David",Staff Sergeant,169391,0,2020,Municipal Police
Delta police,,Sergeant,149057,540,2020,Municipal Police
Delta police,,Sergeant,141753,358,2020,Municipal Police
Delta police,,Sergeant,137392,0,2020,Municipal Police
Delta police,,Sergeant,138107,310,2020,Municipal Police
Delta police,,Sergeant,104389,0,2020,Municipal Police
Delta police,,Sergeant,162260,13789,2020,Municipal Police
Delta police,,Sergeant,140372,297,2020,Municipal Police
Delta police,,Sergeant,161088,69,2020,Municipal Police
Delta police,,Sergeant,128805,30,2020,Municipal Police
Delta police,,Sergeant,135445,25,2020,Municipal Police
Delta police,,Sergeant,134669,0,2020,Municipal Police
Delta police,,Sergeant,135286,6376,2020,Municipal Police
Delta police,,Sergeant,147827,0,2020,Municipal Police
Delta police,,Sergeant,144792,0,2020,Municipal Police
Delta police,,Sergeant,146663,376,2020,Municipal Police
Delta police,,Sergeant,168553,0,2020,Municipal Police
Delta police,,Sergeant,143452,0,2020,Municipal Police
Delta police,,Sergeant,139224,26,2020,Municipal Police
Delta police,,Sergeant,135551,5000,2020,Municipal Police
Delta police,,Sergeant,146992,156,2020,Municipal Police
Delta police,,Sergeant,144774,2500,2020,Municipal Police
Delta police,,Sergeant,135157,440,2020,Municipal Police
Delta police,"Sidhu, Harjinder",Superintendent,207930,3485,2020,Municipal Police
Delta police,"Sidhu, Sukhprit",Staff Sergeant,145297,6830,2020,Municipal Police
Delta police,"Stuart, Jennifer",PRIME Coordinator,76396,26,2020,Municipal Police
Delta police,"Sullivan, Sonja",Court Services Coordinator,80844,0,2020,Municipal Police
Delta police,"Vaughan-Smith, David",Staff Sergeant,154230,0,2020,Municipal Police
Delta police,"Waldron, Jody",Staff Sergeant,161728,1966,2020,Municipal Police
Delta police,"Wong, Kevin",Web Developer,83797,0,2020,Municipal Police
Delta police,"Young, Kelly",Superintendent,210282,4951,2020,Municipal Police
Oak Bay police,,Sergeant - 4th Yr,158365,0,2020,Municipal Police
Oak Bay police,,Sergeant - 4th Yr,132837,0,2020,Municipal Police
Oak Bay police,,Police Constable - 15 Yr,123194,0,2020,Municipal Police
Oak Bay police,,Police Constable - 20 Yr,118912,0,2020,Municipal Police
Oak Bay police,,Police Constable - 15 Yr,137109,0,2020,Municipal Police
Oak Bay police,,Sergeant - 1st Yr,120381,0,2020,Municipal Police
Oak Bay police,,Police Constable - 10 Yr,85137,0,2020,Municipal Police
Oak Bay police,,Police Constable - 15 Yr,112388,0,2020,Municipal Police
Oak Bay police,,Sergeant - 1st Yr,123032,0,2020,Municipal Police
Oak Bay police,,Police Constable - 15 Yr,117308,0,2020,Municipal Police
Oak Bay police,,Sergeant - 1st Yr,129623,0,2020,Municipal Police
Oak Bay police,,Police Constable,111223,0,2020,Municipal Police
Oak Bay police,,Sergeant - 1st Yr,137935,0,2020,Municipal Police
Oak Bay police,,Police Constable,102463,0,2020,Municipal Police
Oak Bay police,,Police Constable - 15 Yr,123467,0,2020,Municipal Police
Oak Bay police,,Police Constable,99678,0,2020,Municipal Police
Oak Bay police,,Police Constable,81169,0,2020,Municipal Police
Oak Bay police,,Police Constable - 10 Yr,105338,0,2020,Municipal Police
Oak Bay police,,Police Constable,79703,0,2020,Municipal Police
Oak Bay police,,Police Constable,76862,0,2020,Municipal Police
Oak Bay police,"Bernoties, Ray",Chief Constable,177712,0,2020,Municipal Police
Oak Bay police,"Brinton, Andy",Chief Constable (retired 2020),127222,0,2020,Municipal Police
Oak Bay police,Sherman,Exective Assistant,75965,0,2020,Municipal Police
Port Moody police,"Fleugel, David",Police Chief,242334,4863,2020,Municipal Police
Port Moody police,"Kaila, Manjinder",Inspector 2 - Police,192358,1914,2020,Municipal Police
Port Moody police,,Sergeant,185922,906,2020,Municipal Police
Port Moody police,,Constable,175476,1030,2020,Municipal Police
Port Moody police,"Thompson, Christopher",Staff Sergeant,174895,422,2020,Municipal Police
Port Moody police,,Sergeant,173139,134,2020,Municipal Police
Port Moody police,,Constable,164113,1147,2020,Municipal Police
Port Moody police,"Renard, Fraser",Sergeant,153194,821,2020,Municipal Police
Port Moody police,"Morrison, J. Ian",Sergeant,152552,981,2020,Municipal Police
Port Moody police,"Carroll, Travis",Sergeant,148015,8801,2020,Municipal Police
Port Moody police, ,Staff Sergeant,146610,962,2020,Municipal Police
Port Moody police,"MacDonald, Kenneth",Deputy Chief,142541,1258,2020,Municipal Police
Port Moody police,"Lewis, Jennifer",Sergeant,141524,442,2020,Municipal Police
Port Moody police,"Bewcyk, Allen",Constable,139758,154,2020,Municipal Police
Port Moody police,,Constable,137175,802,2020,Municipal Police
Port Moody police,,Sergeant,135873,678,2020,Municipal Police
Port Moody police,,Constable,133598,242,2020,Municipal Police
Port Moody police,,Constable,132939,436,2020,Municipal Police
Port Moody police,,Constable,132217,3002,2020,Municipal Police
Port Moody police,,Sergeant,132028,1301,2020,Municipal Police
Port Moody police,,Constable,129874,751,2020,Municipal Police
Port Moody police,,Constable,128472,2657,2020,Municipal Police
Port Moody police,,Constable,126111,684,2020,Municipal Police
Port Moody police,,Constable,126005,810,2020,Municipal Police
Port Moody police,,Constable,125573,6624,2020,Municipal Police
Port Moody police,"Archibald, Shane",Sergeant - TACT,125529,187,2020,Municipal Police
Port Moody police,,Constable,124753,102,2020,Municipal Police
Port Moody police,"Franz, William",Sergeant - TACT,124459,85,2020,Municipal Police
Port Moody police,,Constable,124134,690,2020,Municipal Police
Port Moody police,,Constable,123742,2579,2020,Municipal Police
Port Moody police,"Maschke, Jason",Constable,123063,223,2020,Municipal Police
Port Moody police,,Constable,122816,454,2020,Municipal Police
Port Moody police,,Constable,121983,471,2020,Municipal Police
Port Moody police,"Conlon, Darrin",Constable,121667,343,2020,Municipal Police
Port Moody police,,Constable,121395,2099,2020,Municipal Police
Port Moody police,,Sergeant,119513,720,2020,Municipal Police
Port Moody police,,Constable,117831,2903,2020,Municipal Police
Port Moody police,,Constable,117252,601,2020,Municipal Police
Port Moody police,,Constable,116253,964,2020,Municipal Police
Port Moody police,,Constable,115516,967,2020,Municipal Police
Port Moody police,,Constable,112976,598,2020,Municipal Police
Port Moody police,"Dixon, Christie",Constable,112914,1505,2020,Municipal Police
Port Moody police,,Constable,112254,1552,2020,Municipal Police
Port Moody police,,Constable,111214,1078,2020,Municipal Police
Port Moody police,,Constable,110463,328,2020,Municipal Police
Port Moody police,,Constable,108820,1473,2020,Municipal Police
Port Moody police,,Constable,107155,1202,2020,Municipal Police
Port Moody police,"Anzulovich, Robert",Constable,106681,242,2020,Municipal Police
Port Moody police,,Constable,106209,614,2020,Municipal Police
Port Moody police,"Zacharias, Sam",Constable,103506,484,2020,Municipal Police
Port Moody police,,Constable,102954,1030,2020,Municipal Police
Port Moody police,,Constable,96251,391,2020,Municipal Police
Port Moody police,,Constable,92244,242,2020,Municipal Police
Port Moody police,"Chan, Jody",Constable,89152,394,2020,Municipal Police
Port Moody police,"Quinones, Roselle",Victim Services Coordinator,88895,174,2020,Municipal Police
Port Moody police,"Lim, Santoso",IT Specialist,84175,-811,2020,Municipal Police
Port Moody police,"Vaessen, Jevon",IT Specialist,82410,816,2020,Municipal Police
Port Moody police,,Constable,80468,525,2020,Municipal Police
Saanich police,"Anastasiades, Markus",Constable,106882,747,2020,Municipal Police
Saanich police,"Bryant, Todd",Police Inspector,176829,1930,2020,Municipal Police
Saanich police,Constable,Constable,110165,0,2020,Municipal Police
Saanich police,"Douglas, Paul",Police Inspector,165450,2054,2020,Municipal Police
Saanich police,"Duthie, Dean",Deputy Police Chief Constable,205515,3511,2020,Municipal Police
Saanich police,"Dyck, Trevor",Police Inspector,188298,1674,2020,Municipal Police
Saanich police,"Edwards, Trent",Police Inspector,104066,0,2020,Municipal Police
Saanich police,"Fast, Julie",Sergeant,131331,0,2020,Municipal Police
Saanich police,"Green, David (Scott)",Police Chief Constable,236393,2459,2020,Municipal Police
Saanich police,"Harris, Darryl",Police Inspector,178365,3753,2020,Municipal Police
Saanich police,"Horsley, Christopher",Staff Sergeant,148294,0,2020,Municipal Police
Saanich police,"Horsley, Kathryn",Telecoms Operator,80133,0,2020,Municipal Police
Saanich police,"Illi, Darlene",Telecoms Operator,80133,0,2020,Municipal Police
Saanich police,"Jantzen, Dean",Sergeant,131287,430,2020,Municipal Police
Saanich police,"Leslie, Jereme",Sergeant,125709,269,2020,Municipal Police
Saanich police,"Manning, Laura",Senior Crime Analyst,90144,34,2020,Municipal Police
Saanich police,"Morgan, Stephen",Police Inspector,179422,8291,2020,Municipal Police
Saanich police,"Schenk, Gary",Deputy Police Chief Constable,215581,3272,2020,Municipal Police
Saanich police,"Sealey, L. Michele",Telecoms Operator,80133,0,2020,Municipal Police
Saanich police,,Sergeant,142299,790,2020,Municipal Police
Saanich police,,Staff Sergeant,141403,300,2020,Municipal Police
Saanich police,,Staff Sergeant,140524,495,2020,Municipal Police
Saanich police,"Warren, Robert",Police Inspector,178173,6185,2020,Municipal Police
