Agency,Name,Position,Remuneration,Expenses,Year,Sector
Delta police,,Constable 1st Class10 Yr,128656,869,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,122159,830,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,131598,235,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,124683,29,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,112310,19,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,112952,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,115836,87,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,126791,2014,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,111664,526,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,126410,331,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,126612,527,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,97761,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,134418,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,123127,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,125870,0,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,110201,230,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,140905,19,2020,Municipal Police
Delta police,,Constable 1st Class10 Yr,114191,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,116854,35,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,121072,170,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,130054,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,119660,100,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,129257,123,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,123025,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,126243,365,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,116213,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,112796,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,118650,2568,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,125577,75,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,117126,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,80034,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,122257,301,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,124178,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,114757,578,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,119946,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,122933,53,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,122387,0,2020,Municipal Police
Delta police,,Constable 1st Class15 Yr,98915,0,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,131844,869,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,127332,208,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,122645,270,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,121473,119,2020,Municipal Police
Delta police,,Constable 1st Class20 Yr,116268,0,2020,Municipal Police
